short_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name,nationality_name,year,leaguePos
R. Fraser,LM,81,21500000,76000,25,AFC Bournemouth,English Premier League,Scotland,2020,14
C. Wilson,ST,80,17500000,81000,27,AFC Bournemouth,English Premier League,England,2020,14
N. Aké,CB,80,17500000,58000,24,AFC Bournemouth,English Premier League,Netherlands,2020,14
J. King,"CF, ST",79,14500000,77000,27,AFC Bournemouth,English Premier League,Norway,2020,14
J. Lerma,"CDM, CM",79,15000000,55000,24,AFC Bournemouth,English Premier League,Colombia,2020,14
S. Cook,CB,78,9000000,61000,28,AFC Bournemouth,English Premier League,England,2020,14
D. Brooks,"RM, CAM",77,13500000,44000,21,AFC Bournemouth,English Premier League,Wales,2020,14
L. Cook,CM,77,12500000,52000,22,AFC Bournemouth,English Premier League,England,2020,14
A. Smith,"RB, LB",76,6500000,54000,28,AFC Bournemouth,English Premier League,England,2020,14
A. Danjuma Groeneveld,LM,76,11500000,49000,22,AFC Bournemouth,English Premier League,Netherlands,2020,14
A. Boruc,GK,75,675000,23000,39,AFC Bournemouth,English Premier League,Poland,2020,14
S. Francis,"CB, RB",75,2500000,49000,34,AFC Bournemouth,English Premier League,England,2020,14
A. Begović,GK,75,4000000,40000,32,AFC Bournemouth,English Premier League,Bosnia and Herzegovina,2020,14
A. Surman,CM,75,5000000,53000,32,AFC Bournemouth,English Premier League,England,2020,14
D. Gosling,CM,75,6500000,56000,29,AFC Bournemouth,English Premier League,England,2020,14
J. Stanislas,"LM, RM",75,6500000,56000,29,AFC Bournemouth,English Premier League,England,2020,14
H. Wilson,"RW, CM, RM",75,10500000,64000,22,AFC Bournemouth,English Premier League,Wales,2020,14
Diego Rico,LB,74,6000000,45000,26,AFC Bournemouth,English Premier League,Spain,2020,14
P. Billing,"CM, CDM",74,8000000,43000,23,AFC Bournemouth,English Premier League,Denmark,2020,14
C. Daniels,"LB, LWB",73,2500000,41000,32,AFC Bournemouth,English Premier League,England,2020,14
J. Ibe,RM,73,5500000,40000,23,AFC Bournemouth,English Premier League,England,2020,14
C. Mepham,CB,73,5500000,30000,21,AFC Bournemouth,English Premier League,Wales,2020,14
J. Stacey,RB,70,2500000,24000,23,AFC Bournemouth,English Premier League,England,2020,14
D. Solanke,ST,70,2900000,25000,21,AFC Bournemouth,English Premier League,England,2020,14
L. Kelly,"LB, CB",68,1800000,15000,20,AFC Bournemouth,English Premier League,England,2020,14
A. Ramsdale,GK,68,1200000,11000,21,AFC Bournemouth,English Premier League,England,2020,14
J. Simpson,CB,67,1100000,15000,22,AFC Bournemouth,English Premier League,England,2020,14
M. Travers,GK,64,850000,6000,20,AFC Bournemouth,English Premier League,Republic of Ireland,2020,14
A. Dobre,"LM, LW",62,525000,8000,20,AFC Bournemouth,English Premier League,Romania,2020,14
N. Ofoborh,"CM, CDM",62,650000,6000,19,AFC Bournemouth,English Premier League,Nigeria,2020,14
K. Taylor,"CAM, CM",61,425000,6000,19,AFC Bournemouth,English Premier League,England,2020,14
M. Butcher,"CM, CDM, CB",60,325000,8000,22,AFC Bournemouth,English Premier League,England,2020,14
T. Cordner,CB,59,250000,6000,20,AFC Bournemouth,English Premier League,England,2020,14
P. Aubameyang,"ST, LM",88,57000000,200000,30,Arsenal,English Premier League,Gabon,2020,5
A. Lacazette,ST,86,46000000,165000,28,Arsenal,English Premier League,France,2020,5
Sokratis,CB,84,23000000,110000,31,Arsenal,English Premier League,Greece,2020,5
M. Özil,"CAM, RW",84,29500000,120000,30,Arsenal,English Premier League,Germany,2020,5
